name,value,unit,category,context,vartype,source,min_val,max_val,enumvals,boot_val,reset_val,description,is_predefined_tunable,custom_category,is_runtime_modifiable,eligible_for_autotuning,autotuning_exclusion_reason_code,autotuning_exclusion_reason_detail,tuning_min,tuning_max,scale,impact_tier,tuning_priority,tuning_notes,hardware_relative,resource_type,requires_restart,has_tuning_metadata
recovery_target_inclusive,on,,Write-Ahead Log / Recovery Target,postmaster,bool,default,,,,on,on,Sets whether to include or exclude transaction with recovery target.,False,other,False,True,,,,,linear,extensive,5.0,,False,,True,False
recursive_worktable_factor,10,,Query Tuning / Other Planner Options,user,real,default,0.001,1e+06,,10,10,Sets the planner's estimate of the average size of a recursive query's working table.,False,other,True,True,,,0.1,100.0,log,extensive,5.0,planner multiplier for recursive queries.,False,,False,True
remove_temp_files_after_crash,on,,Developer Options,sighup,bool,default,,,,on,on,Remove temporary files after backend crash.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
reserved_connections,0,,Connections and Authentication / Connection Settings,postmaster,integer,default,0,262143,,0,0,Sets the number of connection slots reserved for roles with privileges of pg_use_reserved_connections.,False,other,False,True,,,0.0,5.0,linear,extensive,5.0,Reserved connection slots; conservative bounds preserve user connection capacity.,False,,True,True
row_security,on,,Client Connection Defaults / Statement Behavior,user,bool,default,,,,on,on,Enables row security.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
send_abort_for_crash,off,,Developer Options,sighup,bool,default,,,,off,off,Send SIGABRT not SIGQUIT to child processes after backend crash.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
send_abort_for_kill,off,,Developer Options,sighup,bool,default,,,,off,off,Send SIGABRT not SIGKILL to stuck child processes.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
serializable_buffers,32,8kB,Resource Usage / Memory,postmaster,integer,default,16,131072,,32,32,Sets the size of the dedicated buffer pool used for the serializable transaction cache.,False,other,False,True,,,16.0,1024.0,log,extensive,5.0,SLRU buffers for serializable transactions (must be multiple of 16).,False,,True,True
session_replication_role,origin,,Client Connection Defaults / Statement Behavior,superuser,enum,default,,,"['origin', 'replica', 'local']",origin,origin,Sets the session's behavior for triggers and rewrite rules.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
shared_memory_type,mmap,,Resource Usage / Memory,postmaster,enum,default,,,"['sysv', 'mmap']",mmap,mmap,Selects the shared memory implementation used for the main shared memory region.,False,other,False,True,,,,,linear,extensive,5.0,,False,,True,False
ssl_max_protocol_version,,,Connections and Authentication / SSL,sighup,enum,default,,,"['', 'TLSv1', 'TLSv1.1', 'TLSv1.2', 'TLSv1.3']",,,Sets the maximum SSL/TLS protocol version to use.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
ssl_min_protocol_version,TLSv1.2,,Connections and Authentication / SSL,sighup,enum,default,,,"['TLSv1', 'TLSv1.1', 'TLSv1.2', 'TLSv1.3']",TLSv1.2,TLSv1.2,Sets the minimum SSL/TLS protocol version to use.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
standard_conforming_strings,on,,Version and Platform Compatibility / Previous PostgreSQL Versions,user,bool,default,,,,on,on,Causes '...' strings to treat backslashes literally.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
stats_fetch_consistency,cache,,Statistics / Cumulative Query and Index Statistics,user,enum,default,,,"['none', 'cache', 'snapshot']",cache,cache,Sets the consistency of accesses to statistics data.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
subtransaction_buffers,32,8kB,Resource Usage / Memory,postmaster,integer,default,0,131072,,0,32,Sets the size of the dedicated buffer pool used for the subtransaction cache.,False,other,False,True,,,16.0,1024.0,log,extensive,5.0,SLRU buffers for subtransactions (must be multiple of 16).,False,,True,True
summarize_wal,off,,Write-Ahead Log / Summarization,sighup,bool,default,,,,off,off,Starts the WAL summarizer process to enable incremental backup.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
superuser_reserved_connections,3,,Connections and Authentication / Connection Settings,postmaster,integer,default,0,262143,,3,3,Sets the number of connection slots reserved for superusers.,False,other,False,True,,,0.0,5.0,linear,extensive,5.0,Reserved connection slots for superusers; tuned conservatively to prevent starvation.,False,,True,True
sync_replication_slots,off,,Replication / Standby Servers,sighup,bool,default,,,,off,off,Enables a physical standby to synchronize logical failover replication slots from the primary server.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
synchronize_seqscans,on,,Version and Platform Compatibility / Previous PostgreSQL Versions,user,bool,default,,,,on,on,Enables synchronized sequential scans.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
synchronous_commit,on,,Write-Ahead Log / Settings,user,enum,default,,,"['local', 'remote_write', 'remote_apply', 'on', 'off']",on,on,Sets the current transaction's synchronization level.,True,wal,True,True,,,,,linear,extensive,5.0,,False,,False,False
syslog_facility,local0,,Reporting and Logging / Where to Log,sighup,enum,default,,,"['local0', 'local1', 'local2', 'local3', 'local4', 'local5', 'local6', 'local7']",local0,local0,"Sets the syslog ""facility"" to be used when syslog enabled.",False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
syslog_sequence_numbers,on,,Reporting and Logging / Where to Log,sighup,bool,default,,,,on,on,Add sequence number to syslog messages to avoid duplicate suppression.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
syslog_split_messages,on,,Reporting and Logging / Where to Log,sighup,bool,default,,,,on,on,Split messages sent to syslog by lines and to fit into 1024 bytes.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
track_activities,on,,Statistics / Cumulative Query and Index Statistics,superuser,bool,default,,,,on,on,Collects information about executing commands.,True,statistics,True,True,,,,,linear,extensive,5.0,,False,,False,False
track_commit_timestamp,off,,Replication / Sending Servers,postmaster,bool,default,,,,off,off,Collects transaction commit time.,False,other,False,True,,,,,linear,extensive,5.0,,False,,True,False
track_cost_delay_timing,off,,Statistics / Cumulative Query and Index Statistics,superuser,bool,default,,,,off,off,Collects timing statistics for cost-based vacuum delay.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
track_counts,on,,Statistics / Cumulative Query and Index Statistics,superuser,bool,default,,,,on,on,Collects statistics on database activity.,True,statistics,True,True,,,,,linear,extensive,5.0,,False,,False,False
track_functions,none,,Statistics / Cumulative Query and Index Statistics,superuser,enum,default,,,"['none', 'pl', 'all']",none,none,Collects function-level statistics on database activity.,True,statistics,True,True,,,,,linear,extensive,5.0,,False,,False,False
track_io_timing,off,,Statistics / Cumulative Query and Index Statistics,superuser,bool,default,,,,off,off,Collects timing statistics for database I/O activity.,True,statistics,True,True,,,,,linear,extensive,5.0,,False,,False,False
track_wal_io_timing,off,,Statistics / Cumulative Query and Index Statistics,superuser,bool,default,,,,off,off,Collects timing statistics for WAL I/O activity.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
